AccessionYear,USPresident,President,Director,LeadershipTeam,PrintsCurator,DrawingsCurator,DrawingsPrintsCurator
1870,Ulysses S. Grant,John Taylor Johnston,,,,,
1871,Ulysses S. Grant,John Taylor Johnston,,,,,
1872,Ulysses S. Grant,John Taylor Johnston,,,,,
1873,Ulysses S. Grant,John Taylor Johnston,,,,,
1874,Ulysses S. Grant,John Taylor Johnston,,,,,
1875,Ulysses S. Grant,John Taylor Johnston,,,,,
1876,Ulysses S. Grant,John Taylor Johnston,,,,,
1877,Rutherford B. Hayes,John Taylor Johnston,,,,,
1878,Rutherford B. Hayes,John Taylor Johnston,,,,,
1879,Rutherford B. Hayes,John Taylor Johnston,Luigi Palma di Cesnola,Johnston / di Cesnola,,,
1880,Rutherford B. Hayes,John Taylor Johnston,Luigi Palma di Cesnola,Johnston / di Cesnola,,,
1881,James A. Garfield,John Taylor Johnston,Luigi Palma di Cesnola,Johnston / di Cesnola,,,
1882,Chester A. Arthur,John Taylor Johnston,Luigi Palma di Cesnola,Johnston / di Cesnola,,,
1883,Chester A. Arthur,John Taylor Johnston,Luigi Palma di Cesnola,Johnston / di Cesnola,,,
1884,Chester A. Arthur,John Taylor Johnston,Luigi Palma di Cesnola,Johnston / di Cesnola,,,
1885,Grover Cleveland,John Taylor Johnston,Luigi Palma di Cesnola,Johnston / di Cesnola,,,
1886,Grover Cleveland,John Taylor Johnston,Luigi Palma di Cesnola,Johnston / di Cesnola,,,
1887,Grover Cleveland,John Taylor Johnston,Luigi Palma di Cesnola,Johnston / di Cesnola,,,
1888,Grover Cleveland,John Taylor Johnston,Luigi Palma di Cesnola,Johnston / di Cesnola,,,
1889,Benjamin Harrison,Henry Gurdon Marquand,Luigi Palma di Cesnola,Marquand / di Cesnola,,,
1890,Benjamin Harrison,Henry Gurdon Marquand,Luigi Palma di Cesnola,Marquand / di Cesnola,,,
1891,Benjamin Harrison,Henry Gurdon Marquand,Luigi Palma di Cesnola,Marquand / di Cesnola,,,
1892,Benjamin Harrison,Henry Gurdon Marquand,Luigi Palma di Cesnola,Marquand / di Cesnola,,,
1893,Grover Cleveland,Henry Gurdon Marquand,Luigi Palma di Cesnola,Marquand / di Cesnola,,,
1894,Grover Cleveland,Henry Gurdon Marquand,Luigi Palma di Cesnola,Marquand / di Cesnola,,,
1895,Grover Cleveland,Henry Gurdon Marquand,Luigi Palma di Cesnola,Marquand / di Cesnola,,,
1896,Grover Cleveland,Henry Gurdon Marquand,Luigi Palma di Cesnola,Marquand / di Cesnola,,,
1897,William McKinley,Henry Gurdon Marquand,Luigi Palma di Cesnola,Marquand / di Cesnola,,,
1898,William McKinley,Henry Gurdon Marquand,Luigi Palma di Cesnola,Marquand / di Cesnola,,,
1899,William McKinley,Henry Gurdon Marquand,Luigi Palma di Cesnola,Marquand / di Cesnola,,,
1900,William McKinley,Henry Gurdon Marquand,Luigi Palma di Cesnola,Marquand / di Cesnola,,,
1901,William McKinley,Henry Gurdon Marquand,Luigi Palma di Cesnola,Marquand / di Cesnola,,,
1902,Theodore Roosevelt,Frederic W. Rhinelander,Luigi Palma di Cesnola,Rhinelander / di Cesnola,,,
1903,Theodore Roosevelt,Frederic W. Rhinelander,Luigi Palma di Cesnola,Rhinelander / di Cesnola,,,
